State,Year,Colonies,YieldPerCol,TotalProd,Clothianidin,Imidacloprid,Thiamethoxam,Acetamiprid,Thiacloprid,TotalNeonic,NO2 Mean,O3 Mean,SO2 Mean,CO Mean
Alabama,1991,23000.0,24,552000.0,,,,,,,,,,
Alabama,1992,25000.0,41,1025000.0,,,,,,,,,,
Alabama,1993,19000.0,45,855000.0,,,,,,,,,,
Alabama,1994,18000.0,50,900000.0,,,,,,,,,,
Alabama,1995,16000.0,58,928000.0,0.0,716.5,0.0,0.0,0.0,716.5,,,,
Alabama,1996,15000.0,64,960000.0,0.0,371.6,0.0,0.0,0.0,371.6,,,,
Alabama,1997,14000.0,66,924000.0,0.0,6704.8,0.0,0.0,0.0,6704.8,,,,
Alabama,1998,16000.0,71,1136000.0,0.0,1836.3,0.0,0.0,0.0,1836.3,,,,
Alabama,1999,17000.0,68,1156000.0,0.0,1251.2,0.0,0.0,0.0,1251.2,,,,
Alabama,2000,16000.0,78,1248000.0,0.0,1499.2,0.0,0.0,0.0,1499.2,,,,
Alabama,2001,14000.0,73,1022000.0,0.0,1490.8,0.0,0.0,0.0,1490.8,,,,
Alabama,2002,12000.0,86,1032000.0,0.0,1178.8,840.4,0.0,0.0,2019.2,,,,
Alabama,2003,13000.0,82,1066000.0,0.0,668.3,591.7,0.0,0.0,1260.0,,,,
Alabama,2004,12000.0,87,1044000.0,2676.4,1323.9,3863.9,0.0,0.0,7864.2,,,,
Alabama,2005,13000.0,66,858000.0,1503.6,994.5,5493.9,0.0,0.0,7992.0,,,,
Alabama,2006,11000.0,72,792000.0,680.0,4230.2,5371.6,0.0,0.0,10281.8,,,,
Alabama,2007,11000.0,56,616000.0,7696.2,3258.1,4149.6,0.0,0.0,15103.9,,,,
Alabama,2008,9000.0,66,594000.0,1598.3,3296.6,4214.5,0.0,0.0,9109.4,,,,
Alabama,2009,9000.0,50,450000.0,5087.2,3991.9,4076.2,0.0,0.0,13155.3,,,,
Alabama,2010,9000.0,54,486000.0,1914.0,1757.0,4658.3,0.0,0.0,8329.3,,,,
Alabama,2011,9000.0,50,450000.0,10106.1,5229.8,7148.1,0.0,0.0,22484.0,,,,
Alabama,2012,8000.0,54,432000.0,4797.8,6249.1,7002.6,0.0,0.0,18049.5,,,,
Alabama,2013,7000.0,52,364000.0,5992.9,8284.4,5202.0,0.0,0.0,19479.3,12.065634967741936,0.01209883870967742,0.750311306451613,0.21100688709677415
Alabama,2014,7000.0,53,371000.0,7971.6,12194.1,4745.4,0.0,0.0,24911.1,9.412271341059604,0.024632635761589406,1.1845526970198679,0.2059769718543048
Alabama,2015,7000.0,47,329000.0,56.2,10919.3,1101.6,0.0,0.0,12077.1,9.07858020666667,0.02399996666666667,1.0094290200000007,0.22102668000000003
Alabama,2016,7000.0,52,364000.0,,,,,,,9.52487319463087,0.028347744966442965,0.8351175503355704,0.20951413758389265
Alabama,2017,7000.0,45,315000.0,,,,,,,,,,
Arizona,1991,75000.0,50,3750000.0,,,,,,,,,,
Arizona,1992,70000.0,54,3780000.0,,,,,,,,,,
Arizona,1993,55000.0,77,4235000.0,,,,,,,,,,
Arizona,1994,47000.0,59,2773000.0,0.0,2653.2,0.0,0.0,0.0,2653.2,,,,
Arizona,1995,52000.0,79,4108000.0,0.0,8260.6,0.0,0.0,0.0,8260.6,,,,
Arizona,1996,32000.0,60,1920000.0,0.0,6156.9,0.0,0.0,0.0,6156.9,,,,
Arizona,1997,42000.0,80,3360000.0,0.0,10204.2,0.0,0.0,0.0,10204.2,,,,
Arizona,1998,55000.0,60,3300000.0,0.0,4814.2,0.0,0.0,0.0,4814.2,,,,
Arizona,1999,52000.0,62,3224000.0,0.0,5171.6,0.0,0.0,0.0,5171.6,,,,
Arizona,2000,40000.0,59,2360000.0,0.0,10467.4,0.0,0.0,0.0,10467.4,24.993917739708554,0.02518354034608377,2.215999863251366,0.7009592629781426
Arizona,2001,43000.0,59,2537000.0,0.0,3713.1,19.6,0.0,0.0,3732.7,22.07484705132419,0.023099916164383578,1.5424231254794514,0.618902133333334
Arizona,2002,38000.0,63,2394000.0,0.0,6235.4,562.2,141.6,0.0,6939.2,22.61982248821917,0.024229958264840184,1.7981384600456618,0.6638852431963473
Arizona,2003,35000.0,72,2520000.0,0.0,9847.5,94.4,1120.2,0.0,11062.1,21.849159598812793,0.02392371990867583,1.7019668094977165,0.5704424352968038
Arizona,2004,32000.0,55,1760000.0,96.7,10884.3,257.8,1635.9,0.0,12874.7,19.45501944845175,0.023870110837887083,1.5655238535063754,0.48564239303278695
Arizona,2005,36000.0,50,1800000.0,0.0,8633.8,141.2,2509.3,0.0,11284.3,21.399059772831052,0.02323306286149162,1.8076077644063928,0.6214978236225265
Arizona,2006,30000.0,65,1950000.0,48.7,9657.7,547.3,3470.6,0.0,13724.3,20.865262172313557,0.02535248203957383,1.6835836757762568,0.5579674875799087
Arizona,2007,30000.0,64,1920000.0,48.7,9038.0,304.0,679.5,0.0,10070.2,18.698407334572728,0.02547960499021524,1.5003645579256346,0.4861010784409648
Arizona,2008,25000.0,64,1600000.0,0.0,8541.8,190.8,1791.8,0.0,10524.4,17.592379187965125,0.026929074518605232,1.4228680572762156,0.4076495718611761
Arizona,2009,20000.0,52,1040000.0,266.0,9309.2,526.1,1246.8,0.0,11348.1,16.578313213861712,0.026304444194390052,1.138754489677103,0.41244398348010447
Arizona,2010,24000.0,77,1848000.0,921.7,9530.3,1225.3,857.7,0.0,12535.0,14.955673810652327,0.027814279530332692,1.045483049135682,0.3448081517449445
Arizona,2011,23000.0,53,1219000.0,1188.3,15866.7,2721.0,1134.2,0.0,20910.2,15.849275275799085,0.028083121461187202,0.7531777301369862,0.31983340547945216
Arizona,2012,22000.0,46,1012000.0,2036.4,10907.6,759.2,1535.1,0.0,15238.3,17.441903522530016,0.02720797165281626,0.902887277008311,0.3319969490304708
Arizona,2013,29000.0,36,1044000.0,2139.8,15241.6,226.5,1961.4,0.0,19569.3,15.546353078538813,0.027898802283105012,0.7213420383561651,0.31729186438356166
Arizona,2014,26000.0,39,1014000.0,2262.1,15137.4,1680.7,569.1,0.0,19649.3,15.721913301095878,0.027448158264840178,0.9507337047945218,0.3973444663013696
Arizona,2015,26000.0,49,1274000.0,223.1,13254.2,340.1,1319.1,0.0,15136.5,13.109824156620997,0.027446184474885855,0.5926093607305936,0.3643335730593607
Arizona,2016,27000.0,46,1242000.0,,,,,,,15.329504043956042,0.02252757692307693,0.37765170329670333,0.4566996620879123
Arizona,2017,22000.0,40,880000.0,,,,,,,,,,
Arkansas,1991,47000.0,79,3713000.0,,,,,,,,,,
Arkansas,1992,45000.0,65,2925000.0,,,,,,,,,,
Arkansas,1993,50000.0,73,3650000.0,,,,,,,,,,
Arkansas,1994,50000.0,71,3550000.0,,,,,,,,,,
